Count,Lon,Lat,Cumulative_Lon,Cumulative_Lat
116,-116.558343,43.568184,-111.501076,41.582439
117,-116.558343,43.568184,-111.5443,41.599411
118,-116.558343,43.568184,-111.586792,41.616096
119,-116.558343,43.568184,-111.62857,41.6325
120,-116.558343,43.568184,-111.669651,41.64863
121,-116.558343,43.568184,-111.710054,41.664494
122,-116.558343,43.568184,-111.749794,41.680098
123,-116.558343,43.568184,-111.788888,41.695449
124,-116.558343,43.568184,-111.827351,41.710551
125,-116.558343,43.568184,-111.865199,41.725413
126,-116.558343,43.568184,-111.902446,41.740038
127,-116.558343,43.568184,-111.939107,41.754433
128,-111.814577,41.752902,-111.938134,41.754421
129,-111.814577,41.752902,-111.937176,41.754409
130,-111.814577,41.752902,-111.936233,41.754397
131,-111.814577,41.752902,-111.935304,41.754386
132,-111.838816,41.706787,-111.934573,41.754025
133,-111.838816,41.706787,-111.933853,41.75367
134,-111.838816,41.706787,-111.933144,41.75332
135,-111.838816,41.706787,-111.932445,41.752975
136,-111.838816,41.706787,-111.931757,41.752636
137,-111.838816,41.706787,-111.931078,41.752301
138,-111.838816,41.706787,-111.93041,41.751971
139,-111.838816,41.706787,-111.929751,41.751646
140,-111.838816,41.706787,-111.929101,41.751326
141,-111.838816,41.706787,-111.928461,41.75101
142,-111.838816,41.706787,-111.92783,41.750699
143,-111.838816,41.706787,-111.927207,41.750392
144,-111.838816,41.706787,-111.926593,41.750089
145,-111.838816,41.706787,-111.925988,41.74979
146,-111.838816,41.706787,-111.925391,41.749496
147,-111.838816,41.706787,-111.924802,41.749205
148,-111.838816,41.706787,-111.924221,41.748918
149,-111.838816,41.706787,-111.923648,41.748636
150,-111.838816,41.706787,-111.923082,41.748357
151,-111.838816,41.706787,-111.922524,41.748081
152,-111.838816,41.706787,-111.921974,41.74781
153,-111.838816,41.706787,-111.92143,41.747542
154,-111.838816,41.706787,-111.920894,41.747277
155,-111.838816,41.706787,-111.920364,41.747016
156,-111.838816,41.706787,-111.919841,41.746758
157,-111.838816,41.706787,-111.919325,41.746503
158,-111.838816,41.706787,-111.918816,41.746252
159,-111.838816,41.706787,-111.918313,41.746004
160,-111.838816,41.706787,-111.917816,41.745759
161,-111.838816,41.706787,-111.917325,41.745516
162,-111.838816,41.706787,-111.91684,41.745277
163,-111.838816,41.706787,-111.916362,41.745041
164,-111.838816,41.706787,-111.915889,41.744808
165,-111.838816,41.706787,-111.915422,41.744578
166,-111.838816,41.706787,-111.91496,41.74435
167,-111.838816,41.706787,-111.914504,41.744125
168,-111.838816,41.706787,-111.914054,41.743903
169,-111.838816,41.706787,-111.913609,41.743683
170,-111.838816,41.706787,-111.913169,41.743466
171,-111.838816,41.706787,-111.912734,41.743252
172,-111.838816,41.706787,-111.912304,41.74304
173,-111.838816,41.706787,-111.911879,41.74283
174,-111.838816,41.706787,-111.911459,41.742623
175,-111.838816,41.706787,-111.911044,41.742418
176,-78.944763,36.014266,-111.723736,41.709872
177,-78.944763,36.014266,-111.538544,41.677693
178,-78.944763,36.014266,-111.355433,41.645876
179,-78.944763,36.014266,-111.174368,41.614415
180,-78.944763,36.014266,-110.995314,41.583303
181,-78.944763,36.014266,-110.818239,41.552535
182,-78.944763,36.014266,-110.64311,41.522105
183,-78.944763,36.014266,-110.469895,41.492007
184,-78.944763,36.014266,-110.298563,41.462237
185,-78.944763,36.014266,-110.129083,41.432788
186,-78.944763,36.014266,-109.961426,41.403656
187,-78.944763,36.014266,-109.795561,41.374836
188,-78.944763,36.014266,-109.631461,41.346322
189,-78.944763,36.014266,-109.469098,41.318111
190,-78.944763,36.014266,-109.308443,41.290196
191,-78.944763,36.014266,-109.149471,41.262573
192,-78.944763,36.014266,-108.992155,41.235238
193,-78.944763,36.014266,-108.836469,41.208186
194,-78.944763,36.014266,-108.682388,41.181414
195,-78.944763,36.014266,-108.529887,41.154915
196,-78.944763,36.014266,-108.378943,41.128688
197,-78.944763,36.014266,-108.229531,41.102726
198,-78.944763,36.014266,-108.081628,41.077027
199,-78.944763,36.014266,-107.935211,41.051586
200,-78.944763,36.014266,-107.790259,41.026399
201,-78.944763,36.014266,-107.646749,41.001463
202,-78.944763,36.014266,-107.50466,40.976774
